gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Atypical NKT cells	CD8+ CD73+ regulatory T cells	CD8+ NK-like TEMRA cells	CD8+ NK-like early effector T cells	CD8+ TEMRA cells	CD8+ central memory T cells	CD8+ cycling effector T cells	CD8+ effector memory T cells 1	CD8+ effector memory T cells 2	CD8+ naive T cells	Gamma Delta T cells	MAIT cells
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS00561BBD7	0.156	0.19	1.082	0.116	0.422	0.239	0.367	0.527	0.532	0.018	0.551	0.046
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS0F1A060D4	0.0	0.023	0.006	0.003	0.006	0.006	0.0	0.001	0.009	0.001	0.0	0.0
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS0B990492C	0.0	0.023	0.006	0.003	0.006	0.006	0.0	0.001	0.009	0.001	0.0	0.0
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS0C5E9FBFB	0.0	0.023	0.006	0.003	0.006	0.006	0.0	0.001	0.009	0.001	0.0	0.0
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS03859E16F	0.0	0.023	0.006	0.003	0.006	0.006	0.0	0.001	0.009	0.001	0.0	0.0
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS02FBD007E	0.0	0.023	0.006	0.003	0.006	0.006	0.0	0.001	0.009	0.001	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0C9696AAA	0.0	0.0	0.029	0.0	0.057	0.007	0.059	0.015	0.07	0.0	0.017	0.019
NECTIN4	Q96NY8	False	PVRL4_HUMAN		CPI-SS01E0F2D2C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS0A5DF05C0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS06207F70E	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002
KLRG1	Q96E93	False	KLRG1_HUMAN		CPI-SS0CC5DCE80	0.878	0.073	1.118	0.717	1.402	0.464	1.009	1.168	1.16	0.072	0.803	1.699
CD44	P16070	False	CD44_HUMAN		CPI-SS03DA2A820	0.96	0.723	0.694	0.772	0.708	0.759	0.77	0.838	0.891	0.691	0.388	0.814
CD44	P16070	False	CD44_HUMAN		CPI-SS0703338F5	0.96	0.723	0.694	0.772	0.708	0.759	0.77	0.838	0.891	0.691	0.388	0.814
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01F67987A	0.0	0.004	0.006	0.007	0.017	0.01	0.105	0.01	0.01	0.007	0.025	0.013
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0467AFD8A	0.0	0.004	0.006	0.007	0.017	0.01	0.105	0.01	0.01	0.007	0.025	0.013
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS05A94DE17	0.0	0.0	0.005	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS06B86672A	0.0	0.0	0.005	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0330D939A	0.0	0.0	0.005	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0E928B8C8	0.0	0.0	0.005	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0735F5C3A	0.0	0.0	0.005	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0348DB5E3	0.0	0.0	0.005	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.0
FGFRL1	Q8N441	False	FGRL1_HUMAN		CPI-SS0CB6968B9	0.0	0.004	0.004	0.006	0.003	0.002	0.0	0.004	0.0	0.001	0.027	0.0
CCR8	P51685	False	CCR8_HUMAN		CPI-SS0ADC886E5	0.0	0.0	0.0	0.014	0.0	0.042	0.0	0.001	0.005	0.0	0.0	0.0
TGFBR3	Q03167	False	TGBR3_HUMAN		CPI-SS085EE60B1	0.708	0.035	0.357	0.031	0.528	0.076	0.412	0.229	0.471	0.015	0.449	0.234
TGFBR3	Q03167	False	TGBR3_HUMAN		CPI-SS0D46E2B45	0.708	0.035	0.357	0.031	0.528	0.076	0.412	0.229	0.471	0.015	0.449	0.234
TGFBR3	Q03167	False	TGBR3_HUMAN		CPI-SS0178F5C45	0.708	0.035	0.357	0.031	0.528	0.076	0.412	0.229	0.471	0.015	0.449	0.234
CR2	P20023	False	CR2_HUMAN		CPI-SS000568A0E	0.0	0.038	0.0	0.004	0.0	0.007	0.0	0.0	0.0	0.033	0.0	0.0
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS087B53ABF	0.0	0.031	0.023	0.013	0.007	0.014	0.021	0.015	0.0	0.018	0.0	0.006
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS034D36D2F	0.18	0.139	0.169	0.172	0.118	0.086	0.155	0.095	0.053	0.082	0.14	0.171
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS055E061C9	0.18	0.139	0.169	0.172	0.118	0.086	0.155	0.095	0.053	0.082	0.14	0.171
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02CF96625	0.18	0.139	0.169	0.172	0.118	0.086	0.155	0.095	0.053	0.082	0.14	0.171
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS033CB0BB2	0.18	0.139	0.169	0.172	0.118	0.086	0.155	0.095	0.053	0.082	0.14	0.171
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS0E2431C09	0.18	0.139	0.169	0.172	0.118	0.086	0.155	0.095	0.053	0.082	0.14	0.171
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS0AFC7BACF	0.18	0.139	0.169	0.172	0.118	0.086	0.155	0.095	0.053	0.082	0.14	0.171
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0F3D40856	0.0	0.041	0.442	0.018	0.442	0.046	0.393	0.425	0.47	0.001	0.494	0.213
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS0917CBD53	0.0	0.0	0.348	0.082	0.031	0.003	0.059	0.005	0.0	0.0	0.202	0.0
KIR2DL1	P43626	False	KI2L1_HUMAN		CPI-SS0ABD11350	0.0	0.002	0.179	0.056	0.006	0.0	0.033	0.002	0.007	0.0	0.313	0.0
CD274	Q9NZQ7	False	PD1L1_HUMAN		CPI-SS016EE0084	0.0	0.013	0.007	0.006	0.009	0.007	0.0	0.013	0.025	0.003	0.0	0.007
PDCD1LG2	Q9BQ51	False	PD1L2_HUMAN		CPI-SS0F5B6B186	0.0	0.007	0.008	0.0	0.003	0.001	0.0	0.001	0.0	0.0	0.0	0.0
MIF	P14174	False	MIF_HUMAN		CPI-SS0ABC5C1B8	1.944	1.868	1.717	1.912	1.519	1.807	2.173	1.756	1.569	1.651	1.583	1.845
AREG	P15514	False	AREG_HUMAN		CPI-SS0D4C221B8	0.0	0.037	0.029	0.032	0.005	0.031	0.0	0.028	0.016	0.015	0.109	0.031
GRN	P28799	False	GRN_HUMAN		CPI-SS0DA033F03	0.0	0.082	0.118	0.131	0.136	0.109	0.126	0.111	0.096	0.071	0.105	0.078
GRN	P28799	False	GRN_HUMAN		CPI-SS054D158CC	0.0	0.082	0.118	0.131	0.136	0.109	0.126	0.111	0.096	0.071	0.105	0.078
GRN	P28799	False	GRN_HUMAN		CPI-SS0C4E86714	0.0	0.082	0.118	0.131	0.136	0.109	0.126	0.111	0.096	0.071	0.105	0.078
COPA	P53621	False	COPA_HUMAN		CPI-SS0302E8E8F	0.0	0.207	0.226	0.208	0.211	0.176	0.123	0.195	0.205	0.123	0.186	0.192
COPA	P53621	False	COPA_HUMAN		CPI-SS0E6E8A727	0.0	0.207	0.226	0.208	0.211	0.176	0.123	0.195	0.205	0.123	0.186	0.192
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS0632A027A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS05D23BCE8	0.0	0.07	0.004	0.009	0.006	0.019	0.0	0.007	0.009	0.008	0.0	0.031
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS03C51D352	0.0	0.07	0.004	0.009	0.006	0.019	0.0	0.007	0.009	0.008	0.0	0.031
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS03133B4F2	0.0	0.07	0.004	0.009	0.006	0.019	0.0	0.007	0.009	0.008	0.0	0.031
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS0F00D756A	0.0	0.07	0.004	0.009	0.006	0.019	0.0	0.007	0.009	0.008	0.0	0.031
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS09648FAA9	0.0	0.07	0.004	0.009	0.006	0.019	0.0	0.007	0.009	0.008	0.0	0.031
APP	P05067	False	A4_HUMAN		CPI-SS09808DEAE	0.0	0.062	0.051	0.075	0.011	0.103	0.083	0.037	0.052	0.107	0.026	0.046
SPN	P16150	False	LEUK_HUMAN		CPI-SS09C4FCB90	1.055	0.71	1.026	0.775	1.005	0.612	0.97	0.655	0.788	0.374	1.306	0.738
ITGAL	P20701	False	ITAL_HUMAN		CPI-SS0E9A581F8	0.585	0.336	0.641	0.332	0.707	0.327	0.693	0.515	0.638	0.193	0.744	0.437
FASLG	P48023	False	TNFL6_HUMAN		CPI-SS0A4F27388	0.18	0.002	0.114	0.004	0.175	0.019	0.119	0.078	0.178	0.001	0.343	0.146
FASLG	P48023	False	TNFL6_HUMAN		CPI-SS0049FD74F	0.18	0.002	0.114	0.004	0.175	0.019	0.119	0.078	0.178	0.001	0.343	0.146
FASLG	P48023	False	TNFL6_HUMAN		CPI-SS00086659A	0.18	0.002	0.114	0.004	0.175	0.019	0.119	0.078	0.178	0.001	0.343	0.146
FASLG	P48023	False	TNFL6_HUMAN		CPI-SS03A0C857B	0.18	0.002	0.114	0.004	0.175	0.019	0.119	0.078	0.178	0.001	0.343	0.146
GPI	P06744	False	G6PI_HUMAN		CPI-SS0B1AB068C	0.584	0.494	0.56	0.504	0.561	0.518	0.723	0.566	0.662	0.45	0.691	0.586
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS0391D4602	0.0	0.087	0.078	0.102	0.079	0.088	0.094	0.09	0.159	0.085	0.243	0.082
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS00A6D366F	0.0	0.087	0.078	0.102	0.079	0.088	0.094	0.09	0.159	0.085	0.243	0.082
AIMP1	Q12904	False	AIMP1_HUMAN		CPI-SS05D1A6BEF	0.413	0.335	0.31	0.282	0.282	0.292	0.375	0.343	0.284	0.299	0.262	0.31
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0E00478B4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
PGF	P49763	False	PLGF_HUMAN		CPI-SS0D22A09AD	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002
PGF	P49763	False	PLGF_HUMAN		CPI-SS0E61DB5DF	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS0947A8549	0.0	0.017	0.009	0.004	0.014	0.019	0.055	0.022	0.019	0.015	0.028	0.019
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS098425155	0.0	0.017	0.009	0.004	0.014	0.019	0.055	0.022	0.019	0.015	0.028	0.019
KIR3DL1	P43629	False	KI3L1_HUMAN		CPI-SS0CBAA9BCC	0.0	0.003	0.712	0.173	0.016	0.005	0.261	0.003	0.0	0.0	0.648	0.007
KIR3DL1	P43629	False	KI3L1_HUMAN		CPI-SS048242083	0.0	0.003	0.712	0.173	0.016	0.005	0.261	0.003	0.0	0.0	0.648	0.007
GPR152	Q8TDT2	False	GP152_HUMAN		CPI-SS0268D47AD	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.0
GPR152	Q8TDT2	False	GP152_HUMAN		CPI-SS0A866903F	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.0
VSIR	Q9H7M9	False	GI24_HUMAN		CPI-SS0A42A3690	0.753	0.551	0.579	0.839	0.613	0.667	0.529	0.531	0.633	0.586	0.57	0.707
VSIR	Q9H7M9	False	GI24_HUMAN		CPI-SS03FA58286	0.753	0.551	0.579	0.839	0.613	0.667	0.529	0.531	0.633	0.586	0.57	0.707
KIR3DL2	P43630	False	KI3L2_HUMAN		CPI-SS0BDD10277	0.0	0.002	0.763	0.359	0.024	0.019	0.084	0.009	0.031	0.002	0.401	0.004
KIR3DL2	P43630	False	KI3L2_HUMAN		CPI-SS0987A89AE	0.0	0.002	0.763	0.359	0.024	0.019	0.084	0.009	0.031	0.002	0.401	0.004
LILRB2	Q8N423	False	LIRB2_HUMAN		CPI-SS0A76A8E97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0
LILRB2	Q8N423	False	LIRB2_HUMAN		CPI-SS0DBA81CCF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0
LILRB1	Q8NHL6	False	LIRB1_HUMAN		CPI-SS00150FB64	0.677	0.016	0.143	0.033	0.213	0.011	0.08	0.017	0.028	0.002	0.082	0.011
LILRB1	Q8NHL6	False	LIRB1_HUMAN		CPI-SS05CE87F88	0.677	0.016	0.143	0.033	0.213	0.011	0.08	0.017	0.028	0.002	0.082	0.011
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0D1D95883	0.276	0.006	0.039	0.012	0.047	0.012	0.144	0.12	0.229	0.001	0.0	0.198
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0C090A257	0.276	0.006	0.039	0.012	0.047	0.012	0.144	0.12	0.229	0.001	0.0	0.198
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0B01D306C	0.276	0.006	0.039	0.012	0.047	0.012	0.144	0.12	0.229	0.001	0.0	0.198
SLC7A1	P30825	False	CTR1_HUMAN		CPI-SS0795802F6	0.156	0.026	0.022	0.023	0.028	0.016	0.0	0.024	0.048	0.021	0.025	0.02
SLC7A1	P30825	False	CTR1_HUMAN		CPI-SS03105D292	0.156	0.026	0.022	0.023	0.028	0.016	0.0	0.024	0.048	0.021	0.025	0.02
CNR2	P34972	False	CNR2_HUMAN		CPI-SS05BA6D9C3	0.0	0.0	0.1	0.119	0.025	0.011	0.027	0.051	0.016	0.002	0.0	0.037
IDE	P14735	False	IDE_HUMAN		CPI-SS076D8415B	0.0	0.061	0.04	0.047	0.068	0.052	0.063	0.068	0.071	0.039	0.091	0.069
IGF1R	P08069	False	IGF1R_HUMAN		CPI-SS0E41702C1	0.0	0.014	0.008	0.027	0.004	0.011	0.0	0.002	0.0	0.025	0.081	0.001
SORT1	Q99523	False	SORT_HUMAN		CPI-SS07CCAD9BF	0.0	0.0	0.0	0.011	0.001	0.002	0.0	0.001	0.007	0.007	0.0	0.0
SORT1	Q99523	False	SORT_HUMAN		CPI-SS04F3A1E5C	0.0	0.0	0.0	0.011	0.001	0.002	0.0	0.001	0.007	0.007	0.0	0.0
CD200R1	Q8TD46	False	MO2R1_HUMAN		CPI-SS0A9E884E0	0.0	0.043	0.026	0.081	0.031	0.094	0.023	0.065	0.13	0.056	0.0	0.052
CLEC2D	Q9UHP7	False	CLC2D_HUMAN		CPI-SS0E292C126	1.104	0.962	0.839	0.666	1.059	0.79	0.647	0.891	1.098	0.873	0.351	0.741
CLEC2D	Q9UHP7	False	CLC2D_HUMAN		CPI-SS02A0FF87F	1.104	0.962	0.839	0.666	1.059	0.79	0.647	0.891	1.098	0.873	0.351	0.741
DAG1	Q14118	False	DAG1_HUMAN		CPI-SS0F8EFEECF	0.0	0.025	0.023	0.015	0.025	0.025	0.0	0.024	0.018	0.02	0.053	0.007
DAG1	Q14118	False	DAG1_HUMAN		CPI-SS0BD9F32BA	0.0	0.025	0.023	0.015	0.025	0.025	0.0	0.024	0.018	0.02	0.053	0.007
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS02EBC1BB0	0.14	0.005	0.024	0.027	0.025	0.009	0.027	0.018	0.011	0.013	0.044	0.008
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS04A5D6B6F	0.14	0.005	0.024	0.027	0.025	0.009	0.027	0.018	0.011	0.013	0.044	0.008
SEMA4C	Q9C0C4	False	SEM4C_HUMAN		CPI-SS0B81F1BF5	0.0	0.017	0.021	0.036	0.022	0.023	0.0	0.029	0.023	0.009	0.0	0.014
SEMA4C	Q9C0C4	False	SEM4C_HUMAN		CPI-SS0AB21032D	0.0	0.017	0.021	0.036	0.022	0.023	0.0	0.029	0.023	0.009	0.0	0.014
FLT4	P35916	False	VGFR3_HUMAN		CPI-SS09C917D22	0.0	0.003	0.005	0.023	0.008	0.009	0.024	0.017	0.0	0.005	0.0	0.047
ICOS	Q9Y6W8	False	ICOS_HUMAN		CPI-SS03B8E2D7A	0.0	0.067	0.019	0.016	0.062	0.071	0.077	0.054	0.116	0.104	0.0	0.043
ICOS	Q9Y6W8	False	ICOS_HUMAN		CPI-SS0E4B1484B	0.0	0.067	0.019	0.016	0.062	0.071	0.077	0.054	0.116	0.104	0.0	0.043
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS04B4619D0	0.14	0.298	0.392	0.254	0.417	0.244	0.262	0.301	0.382	0.228	0.654	0.423
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS084BE3E4B	0.14	0.298	0.392	0.254	0.417	0.244	0.262	0.301	0.382	0.228	0.654	0.423
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0F9B3B259	0.14	0.298	0.392	0.254	0.417	0.244	0.262	0.301	0.382	0.228	0.654	0.423
FAS	P25445	False	TNR6_HUMAN		CPI-SS08B7D54A3	0.156	0.127	0.154	0.066	0.144	0.134	0.173	0.213	0.252	0.013	0.118	0.154
FAS	P25445	False	TNR6_HUMAN		CPI-SS0A83A7E30	0.156	0.127	0.154	0.066	0.144	0.134	0.173	0.213	0.252	0.013	0.118	0.154
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0E7D5974D	1.071	0.255	0.575	0.169	0.64	0.239	0.416	0.364	0.432	0.054	0.578	0.341
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS07D9A48A2	1.071	0.255	0.575	0.169	0.64	0.239	0.416	0.364	0.432	0.054	0.578	0.341
RIPK1	Q13546	False	RIPK1_HUMAN		CPI-SS048A2311A	0.156	0.089	0.143	0.154	0.129	0.099	0.134	0.131	0.17	0.091	0.103	0.143
RIPK1	Q13546	False	RIPK1_HUMAN		CPI-SS0D5C54214	0.156	0.089	0.143	0.154	0.129	0.099	0.134	0.131	0.17	0.091	0.103	0.143
RIPK1	Q13546	False	RIPK1_HUMAN		CPI-SS0DEDA3567	0.156	0.089	0.143	0.154	0.129	0.099	0.134	0.131	0.17	0.091	0.103	0.143
PTPRS	Q13332	False	PTPRS_HUMAN		CPI-SS0FBC9234C	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.001	0.0	0.011	0.0	0.0
CELSR2	Q9HCU4	False	CELR2_HUMAN		CPI-SS034B442CE	0.0	0.002	0.005	0.006	0.008	0.001	0.0	0.005	0.0	0.005	0.0	0.004
CCL20	P78556	False	CCL20_HUMAN		CPI-SS0F8C664D9	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.014
CCL20	P78556	False	CCL20_HUMAN		CPI-SS07F015051	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.014
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0DCA69916	0.0	0.003	0.0	0.0	0.002	0.0	0.032	0.001	0.0	0.02	0.0	0.0
CD70	P32970	False	CD70_HUMAN		CPI-SS0AA47D179	0.195	0.004	0.025	0.004	0.033	0.012	0.0	0.026	0.087	0.002	0.0	0.029
CD70	P32970	False	CD70_HUMAN		CPI-SS0D4BF6CA3	0.195	0.004	0.025	0.004	0.033	0.012	0.0	0.026	0.087	0.002	0.0	0.029
CD40LG	P29965	False	CD40L_HUMAN		CPI-SS083296041	0.0	0.0	0.005	0.013	0.008	0.058	0.023	0.005	0.0	0.014	0.0	0.398
INSL3	P51460	False	INSL3_HUMAN		CPI-SS05834E385	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.002	0.0	0.0
PRL	P01236	False	PRL_HUMAN		CPI-SS026776C89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0
OGN	P20774	False	MIME_HUMAN		CPI-SS0EF0750A7	0.0	0.002	0.0	0.005	0.001	0.0	0.0	0.002	0.0	0.001	0.0	0.0
IL2	P60568	False	IL2_HUMAN		CPI-SS09F430F14	0.0	0.033	0.0	0.002	0.001	0.016	0.0	0.003	0.0	0.0	0.0	0.0
IL24	Q13007	False	IL24_HUMAN		CPI-SS07D71C546	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.002	0.0	0.0
DLL3	Q9NYJ7	False	DLL3_HUMAN		CPI-SS003C9A532	0.0	0.008	0.0	0.014	0.005	0.02	0.0	0.012	0.0	0.022	0.026	0.005
DLL3	Q9NYJ7	False	DLL3_HUMAN		CPI-SS0607D1101	0.0	0.008	0.0	0.014	0.005	0.02	0.0	0.012	0.0	0.022	0.026	0.005
DLL3	Q9NYJ7	False	DLL3_HUMAN		CPI-SS09D379E5B	0.0	0.008	0.0	0.014	0.005	0.02	0.0	0.012	0.0	0.022	0.026	0.005
JAG2	Q9Y219	False	JAG2_HUMAN		CPI-SS02770D68F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.027	0.0
JAG2	Q9Y219	False	JAG2_HUMAN		CPI-SS08C3D27F7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.027	0.0
JAG2	Q9Y219	False	JAG2_HUMAN		CPI-SS05FEE05CB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.027	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B87FE6E0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
JAG1	P78504	False	JAG1_HUMAN		CPI-SS01A07768A	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
RETN	Q9HD89	False	RETN_HUMAN		CPI-SS0EECD7662	0.0	0.004	0.0	0.0	0.0	0.003	0.0	0.001	0.0	0.023	0.0	0.002
CCR3	P51677	False	CCR3_HUMAN		CPI-SS08BFF4F9B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0
CCR3	P51677	False	CCR3_HUMAN		CPI-SS0F6B529A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0
CCR3	P51677	False	CCR3_HUMAN		CPI-SS0C6311D2D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0
CCR1	P32246	False	CCR1_HUMAN		CPI-SS08DA48A5A	0.0	0.0	0.018	0.002	0.015	0.003	0.0	0.01	0.01	0.0	0.028	0.225
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0A021DB6E	0.0	0.0	0.018	0.002	0.015	0.003	0.0	0.01	0.01	0.0	0.028	0.225
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0817CE2B3	0.0	0.0	0.018	0.002	0.015	0.003	0.0	0.01	0.01	0.0	0.028	0.225
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0F3BF2B34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0CCD89E02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
CCR4	P51679	False	CCR4_HUMAN		CPI-SS0EA05941A	0.0	0.0	0.0	0.005	0.002	0.045	0.065	0.092	0.129	0.0	0.0	0.002
DPP4	P27487	False	DPP4_HUMAN		CPI-SS04641FE5F	0.0	0.103	0.004	0.022	0.006	0.12	0.153	0.083	0.048	0.114	0.0	0.487
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0FDAB7BA8	0.0	0.103	0.004	0.022	0.006	0.12	0.153	0.083	0.048	0.114	0.0	0.487
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS01A6823FA	0.0	0.94	0.615	1.376	0.504	0.89	0.866	0.894	0.917	0.218	0.55	0.416
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS080683E15	0.0	0.94	0.615	1.376	0.504	0.89	0.866	0.894	0.917	0.218	0.55	0.416
CXCR1	P25024	False	CXCR1_HUMAN		CPI-SS07AB1C381	0.14	0.0	0.038	0.0	0.026	0.001	0.027	0.0	0.0	0.001	0.104	0.0
CXCR1	P25024	False	CXCR1_HUMAN		CPI-SS0D04AE221	0.14	0.0	0.038	0.0	0.026	0.001	0.027	0.0	0.0	0.001	0.104	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0C491A3C1	0.0	0.0	0.061	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.565	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	0.0	0.0	0.061	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.565	0.0
CCR9	P51686	False	CCR9_HUMAN		CPI-SS039863E62	0.0	0.472	0.0	0.0	0.001	0.008	0.0	0.001	0.0	0.003	0.0	0.003
NPR3	P17342	False	ANPRC_HUMAN		CPI-SS04A7BCE8D	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
NPR2	P20594	False	ANPRB_HUMAN		CPI-SS0230EE330	0.0	0.006	0.004	0.002	0.001	0.001	0.0	0.004	0.009	0.005	0.0	0.004
MET	P08581	False	MET_HUMAN		CPI-SS0BC7CD11B	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS0419B80C4	0.0	0.0	0.0	0.002	0.003	0.012	0.0	0.002	0.011	0.003	0.0	0.004
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS02928C71A	0.0	0.0	0.0	0.002	0.003	0.012	0.0	0.002	0.011	0.003	0.0	0.004
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS006C6537E	0.0	0.0	0.0	0.002	0.003	0.012	0.0	0.002	0.011	0.003	0.0	0.004
CD47	Q08722	False	CD47_HUMAN		CPI-SS014958F32	0.688	0.609	0.63	0.58	0.786	0.624	0.687	0.691	0.767	0.497	0.777	0.717
CD47	Q08722	False	CD47_HUMAN		CPI-SS0339AE950	0.688	0.609	0.63	0.58	0.786	0.624	0.687	0.691	0.767	0.497	0.777	0.717
PTPRK	Q15262	False	PTPRK_HUMAN		CPI-SS0A9FB762A	0.0	0.023	0.0	0.006	0.001	0.008	0.0	0.005	0.011	0.044	0.0	0.0
