gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Atypical NKT cells	CD8+ CD73+ regulatory T cells	CD8+ NK-like TEMRA cells	CD8+ NK-like early effector T cells	CD8+ TEMRA cells	CD8+ central memory T cells	CD8+ cycling effector T cells	CD8+ effector memory T cells 1	CD8+ effector memory T cells 2	CD8+ exhausted T cells	CD8+ naive T cells	Gamma Delta T cells	MAIT cells
IL16	Q14005	False	IL16_HUMAN		CPI-SS0893BD6B6	0.717	0.598	0.837	0.572	0.709	0.656	0.54	0.814	0.815	0.751	0.65	0.586	0.688
GPR19	Q15760	False	GPR19_HUMAN		CPI-SS07DFEBFA8	0.0	0.0	0.003	0.014	0.007	0.002	0.006	0.003	0.005	0.0	0.0	0.01	0.0
CXCL17	Q6UXB2	False	VCC1_HUMAN		CPI-SS08C995EB4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
CLEC2B	Q92478	False	CLC2B_HUMAN		CPI-SS025C8F785	0.651	0.591	0.971	0.615	1.047	0.397	1.257	0.991	1.284	1.472	0.537	0.964	0.782
EDA	Q92838	False	EDA_HUMAN		CPI-SS00797FD15	0.0	0.027	0.0	0.0	0.0	0.071	0.0	0.002	0.001	0.0	0.05	0.0	0.009
EDA	Q92838	False	EDA_HUMAN		CPI-SS05A8552D7	0.0	0.027	0.0	0.0	0.0	0.071	0.0	0.002	0.001	0.0	0.05	0.0	0.009
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	0.0	0.0	0.0	0.0	0.0	0.006	0.003	0.0	0.0	0.0	0.003	0.0	0.0
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS028784FC6	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.005
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS00A8596B5	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.005
CD96	P40200	False	TACT_HUMAN		CPI-SS0B84DAE3D	0.379	0.722	0.462	0.55	0.535	0.539	0.509	0.603	0.625	0.0	0.497	0.545	0.742
CD226	Q15762	False	CD226_HUMAN		CPI-SS0A8627ED6	0.834	0.155	0.042	0.258	0.158	0.183	0.207	0.094	0.192	0.0	0.098	0.359	0.168
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS00561BBD7	0.53	0.333	1.13	0.215	0.541	0.232	0.473	0.587	0.673	1.175	0.146	0.672	0.166
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS0F1A060D4	0.0	0.015	0.003	0.0	0.001	0.002	0.0	0.003	0.001	0.0	0.0	0.0	0.0
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS0B990492C	0.0	0.015	0.003	0.0	0.001	0.002	0.0	0.003	0.001	0.0	0.0	0.0	0.0
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS0C5E9FBFB	0.0	0.015	0.003	0.0	0.001	0.002	0.0	0.003	0.001	0.0	0.0	0.0	0.0
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS03859E16F	0.0	0.015	0.003	0.0	0.001	0.002	0.0	0.003	0.001	0.0	0.0	0.0	0.0
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS02FBD007E	0.0	0.015	0.003	0.0	0.001	0.002	0.0	0.003	0.001	0.0	0.0	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0C9696AAA	0.0	0.0	0.072	0.0	0.016	0.042	0.018	0.016	0.022	1.472	0.0	0.02	0.039
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS0A5DF05C0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS06207F70E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0
KLRG1	Q96E93	False	KLRG1_HUMAN		CPI-SS0CC5DCE80	0.0	0.262	1.354	0.688	0.789	0.447	0.348	0.942	0.497	0.0	0.224	0.3	1.251
CD44	P16070	False	CD44_HUMAN		CPI-SS0703338F5	0.503	0.548	0.485	0.735	0.507	0.692	0.438	0.713	0.614	0.0	0.458	0.254	0.649
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS044CF7EAE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0D4CA5D92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS066347638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0F2C6A4D4	0.0	0.0	0.007	0.014	0.008	0.017	0.012	0.01	0.007	0.0	0.005	0.033	0.005
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS06B86672A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0F6A7A4DF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS02FEAF02E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0735F5C3A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0348DB5E3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
CCR8	P51685	False	CCR8_HUMAN		CPI-SS0ADC886E5	0.0	0.0	0.0	0.0	0.0	0.161	0.003	0.0	0.0	0.0	0.006	0.0	0.0
TGFBR3	Q03167	False	TGBR3_HUMAN		CPI-SS085EE60B1	0.562	0.062	0.282	0.152	0.344	0.081	0.278	0.192	0.348	0.0	0.07	0.289	0.146
TGFBR3	Q03167	False	TGBR3_HUMAN		CPI-SS0D46E2B45	0.562	0.062	0.282	0.152	0.344	0.081	0.278	0.192	0.348	0.0	0.07	0.289	0.146
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS034D36D2F	0.0	0.063	0.135	0.124	0.067	0.068	0.083	0.072	0.073	0.0	0.06	0.184	0.087
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS055E061C9	0.0	0.063	0.135	0.124	0.067	0.068	0.083	0.072	0.073	0.0	0.06	0.184	0.087
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02CF96625	0.0	0.063	0.135	0.124	0.067	0.068	0.083	0.072	0.073	0.0	0.06	0.184	0.087
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS033CB0BB2	0.0	0.063	0.135	0.124	0.067	0.068	0.083	0.072	0.073	0.0	0.06	0.184	0.087
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS0E2431C09	0.0	0.063	0.135	0.124	0.067	0.068	0.083	0.072	0.073	0.0	0.06	0.184	0.087
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS0AFC7BACF	0.0	0.063	0.135	0.124	0.067	0.068	0.083	0.072	0.073	0.0	0.06	0.184	0.087
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0F3D40856	0.0	0.045	0.693	0.148	0.397	0.044	0.239	0.478	0.226	0.0	0.05	0.282	0.22
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS0917CBD53	0.0	0.0	0.417	0.0	0.034	0.003	0.049	0.003	0.006	0.0	0.0	0.541	0.0
KIR2DL1	P43626	False	KI2L1_HUMAN		CPI-SS0ABD11350	0.0	0.0	0.088	0.0	0.004	0.0	0.008	0.002	0.0	0.0	0.0	0.659	0.0
CD274	Q9NZQ7	False	PD1L1_HUMAN		CPI-SS016EE0084	0.0	0.018	0.007	0.0	0.008	0.004	0.0	0.008	0.016	0.0	0.002	0.005	0.009
CD274	Q9NZQ7	False	PD1L1_HUMAN		CPI-SS08F13AD5C	0.0	0.018	0.007	0.0	0.008	0.004	0.0	0.008	0.016	0.0	0.002	0.005	0.009
PDCD1LG2	Q9BQ51	False	PD1L2_HUMAN		CPI-SS0F5B6B186	0.0	0.0	0.007	0.0	0.006	0.0	0.006	0.001	0.015	0.0	0.0	0.0	0.004
MIF	P14174	False	MIF_HUMAN		CPI-SS0ABC5C1B8	2.11	1.887	1.615	1.796	1.465	2.06	1.908	1.772	1.491	1.7	1.804	1.685	1.876
AREG	P15514	False	AREG_HUMAN		CPI-SS0D4C221B8	0.0	0.0	0.129	0.041	0.007	0.054	0.017	0.016	0.004	0.0	0.023	1.283	0.127
GRN	P28799	False	GRN_HUMAN		CPI-SS0DA033F03	0.0	0.041	0.089	0.098	0.116	0.093	0.155	0.075	0.1	0.0	0.075	0.157	0.079
GRN	P28799	False	GRN_HUMAN		CPI-SS054D158CC	0.0	0.041	0.089	0.098	0.116	0.093	0.155	0.075	0.1	0.0	0.075	0.157	0.079
GRN	P28799	False	GRN_HUMAN		CPI-SS0C4E86714	0.0	0.041	0.089	0.098	0.116	0.093	0.155	0.075	0.1	0.0	0.075	0.157	0.079
COPA	P53621	False	COPA_HUMAN		CPI-SS0302E8E8F	0.504	0.154	0.196	0.291	0.188	0.147	0.274	0.165	0.23	0.0	0.105	0.188	0.171
COPA	P53621	False	COPA_HUMAN		CPI-SS0E6E8A727	0.504	0.154	0.196	0.291	0.188	0.147	0.274	0.165	0.23	0.0	0.105	0.188	0.171
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS0632A027A	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS05D23BCE8	0.0	0.061	0.01	0.0	0.006	0.021	0.011	0.006	0.014	0.0	0.013	0.035	0.064
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS03C51D352	0.0	0.061	0.01	0.0	0.006	0.021	0.011	0.006	0.014	0.0	0.013	0.035	0.064
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS03133B4F2	0.0	0.061	0.01	0.0	0.006	0.021	0.011	0.006	0.014	0.0	0.013	0.035	0.064
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS0F00D756A	0.0	0.061	0.01	0.0	0.006	0.021	0.011	0.006	0.014	0.0	0.013	0.035	0.064
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS09648FAA9	0.0	0.061	0.01	0.0	0.006	0.021	0.011	0.006	0.014	0.0	0.013	0.035	0.064
APP	P05067	False	A4_HUMAN		CPI-SS09808DEAE	0.0	0.029	0.0	0.055	0.007	0.046	0.012	0.004	0.01	0.0	0.074	0.0	0.043
SPN	P16150	False	LEUK_HUMAN		CPI-SS09C4FCB90	1.113	0.471	0.728	0.617	0.76	0.445	0.728	0.531	0.597	1.472	0.259	0.982	0.477
ITGAL	P20701	False	ITAL_HUMAN		CPI-SS0E9A581F8	0.54	0.241	0.466	0.364	0.543	0.213	0.445	0.433	0.508	1.472	0.193	0.667	0.374
FASLG	P48023	False	TNFL6_HUMAN		CPI-SS0A4F27388	0.231	0.024	0.137	0.033	0.087	0.014	0.091	0.049	0.09	0.0	0.007	0.222	0.086
FASLG	P48023	False	TNFL6_HUMAN		CPI-SS0049FD74F	0.231	0.024	0.137	0.033	0.087	0.014	0.091	0.049	0.09	0.0	0.007	0.222	0.086
FASLG	P48023	False	TNFL6_HUMAN		CPI-SS00086659A	0.231	0.024	0.137	0.033	0.087	0.014	0.091	0.049	0.09	0.0	0.007	0.222	0.086
FASLG	P48023	False	TNFL6_HUMAN		CPI-SS03A0C857B	0.231	0.024	0.137	0.033	0.087	0.014	0.091	0.049	0.09	0.0	0.007	0.222	0.086
GPI	P06744	False	G6PI_HUMAN		CPI-SS0B1AB068C	0.499	0.467	0.713	0.64	0.602	0.537	0.742	0.624	0.633	0.0	0.447	0.455	0.55
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS0391D4602	0.0	0.099	0.058	0.068	0.084	0.091	0.13	0.088	0.124	0.751	0.063	0.066	0.118
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS00A6D366F	0.0	0.099	0.058	0.068	0.084	0.091	0.13	0.088	0.124	0.751	0.063	0.066	0.118
AIMP1	Q12904	False	AIMP1_HUMAN		CPI-SS05D1A6BEF	0.525	0.346	0.317	0.179	0.297	0.32	0.429	0.286	0.395	0.0	0.302	0.316	0.356
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0DE0A486F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0
PGF	P49763	False	PLGF_HUMAN		CPI-SS0855C0353	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
PGF	P49763	False	PLGF_HUMAN		CPI-SS0E61DB5DF	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS033E6DE7E	0.0	0.068	0.012	0.0	0.01	0.024	0.023	0.014	0.005	0.0	0.02	0.02	0.013
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS0947A8549	0.0	0.068	0.012	0.0	0.01	0.024	0.023	0.014	0.005	0.0	0.02	0.02	0.013
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS098425155	0.0	0.068	0.012	0.0	0.01	0.024	0.023	0.014	0.005	0.0	0.02	0.02	0.013
KIR3DL1	P43629	False	KI3L1_HUMAN		CPI-SS0CBAA9BCC	0.0	0.0	0.737	0.0	0.04	0.014	0.017	0.016	0.019	0.0	0.0	1.001	0.01
KIR3DL1	P43629	False	KI3L1_HUMAN		CPI-SS048242083	0.0	0.0	0.737	0.0	0.04	0.014	0.017	0.016	0.019	0.0	0.0	1.001	0.01
VSIR	Q9H7M9	False	GI24_HUMAN		CPI-SS0A42A3690	0.987	0.501	0.418	0.754	0.52	0.529	0.505	0.469	0.533	0.0	0.528	0.471	0.632
VSIR	Q9H7M9	False	GI24_HUMAN		CPI-SS03FA58286	0.987	0.501	0.418	0.754	0.52	0.529	0.505	0.469	0.533	0.0	0.528	0.471	0.632
KIR3DL2	P43630	False	KI3L2_HUMAN		CPI-SS0BDD10277	0.0	0.0	0.535	0.015	0.032	0.018	0.01	0.009	0.004	0.0	0.006	0.604	0.01
KIR3DL2	P43630	False	KI3L2_HUMAN		CPI-SS0987A89AE	0.0	0.0	0.535	0.015	0.032	0.018	0.01	0.009	0.004	0.0	0.006	0.604	0.01
LILRB2	Q8N423	False	LIRB2_HUMAN		CPI-SS0A76A8E97	0.0	0.0	0.004	0.0	0.001	0.002	0.0	0.002	0.003	0.0	0.0	0.0	0.0
LILRB2	Q8N423	False	LIRB2_HUMAN		CPI-SS0DBA81CCF	0.0	0.0	0.004	0.0	0.001	0.002	0.0	0.002	0.003	0.0	0.0	0.0	0.0
LILRB1	Q8NHL6	False	LIRB1_HUMAN		CPI-SS00150FB64	0.0	0.036	0.217	0.097	0.16	0.009	0.056	0.041	0.013	0.0	0.032	0.162	0.005
LILRB1	Q8NHL6	False	LIRB1_HUMAN		CPI-SS05CE87F88	0.0	0.036	0.217	0.097	0.16	0.009	0.056	0.041	0.013	0.0	0.032	0.162	0.005
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0D1D95883	0.268	0.0	0.036	0.016	0.043	0.016	0.126	0.161	0.209	0.751	0.015	0.013	0.15
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0C090A257	0.268	0.0	0.036	0.016	0.043	0.016	0.126	0.161	0.209	0.751	0.015	0.013	0.15
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0B01D306C	0.268	0.0	0.036	0.016	0.043	0.016	0.126	0.161	0.209	0.751	0.015	0.013	0.15
SLC7A1	P30825	False	CTR1_HUMAN		CPI-SS0795802F6	0.0	0.032	0.018	0.013	0.015	0.044	0.055	0.02	0.01	0.0	0.022	0.0	0.019
SLC7A1	P30825	False	CTR1_HUMAN		CPI-SS03105D292	0.0	0.032	0.018	0.013	0.015	0.044	0.055	0.02	0.01	0.0	0.022	0.0	0.019
CNR2	P34972	False	CNR2_HUMAN		CPI-SS05BA6D9C3	0.0	0.0	0.047	0.0	0.004	0.004	0.005	0.019	0.004	0.0	0.003	0.005	0.013
IDE	P14735	False	IDE_HUMAN		CPI-SS076D8415B	0.272	0.05	0.03	0.048	0.05	0.048	0.088	0.056	0.057	0.0	0.017	0.027	0.046
IGF1R	P08069	False	IGF1R_HUMAN		CPI-SS0E41702C1	0.0	0.015	0.004	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.029	0.018	0.021
SORT1	Q99523	False	SORT_HUMAN		CPI-SS07CCAD9BF	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0
SORT1	Q99523	False	SORT_HUMAN		CPI-SS04F3A1E5C	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0
CD200R1	Q8TD46	False	MO2R1_HUMAN		CPI-SS0A9E884E0	0.0	0.062	0.064	0.064	0.032	0.112	0.023	0.054	0.038	0.0	0.041	0.0	0.03
CLEC2D	Q9UHP7	False	CLC2D_HUMAN		CPI-SS0E292C126	0.917	0.571	0.89	0.851	0.971	0.542	0.987	0.754	0.998	1.886	0.685	0.212	0.567
CLEC2D	Q9UHP7	False	CLC2D_HUMAN		CPI-SS02A0FF87F	0.917	0.571	0.89	0.851	0.971	0.542	0.987	0.754	0.998	1.886	0.685	0.212	0.567
DAG1	Q14118	False	DAG1_HUMAN		CPI-SS0F8EFEECF	0.0	0.0	0.01	0.0	0.019	0.008	0.038	0.016	0.017	0.0	0.012	0.031	0.033
DAG1	Q14118	False	DAG1_HUMAN		CPI-SS0BD9F32BA	0.0	0.0	0.01	0.0	0.019	0.008	0.038	0.016	0.017	0.0	0.012	0.031	0.033
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS02EBC1BB0	0.272	0.03	0.025	0.015	0.027	0.02	0.047	0.015	0.019	0.751	0.02	0.028	0.023
SEMA4C	Q9C0C4	False	SEM4C_HUMAN		CPI-SS0B81F1BF5	0.0	0.017	0.007	0.0	0.015	0.006	0.003	0.011	0.004	0.0	0.004	0.032	0.015
SEMA4C	Q9C0C4	False	SEM4C_HUMAN		CPI-SS0AB21032D	0.0	0.017	0.007	0.0	0.015	0.006	0.003	0.011	0.004	0.0	0.004	0.032	0.015
FLT4	P35916	False	VGFR3_HUMAN		CPI-SS09C917D22	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.003	0.0	0.0	0.008	0.0	0.021
ICOS	Q9Y6W8	False	ICOS_HUMAN		CPI-SS03B8E2D7A	0.0	0.054	0.012	0.056	0.038	0.064	0.057	0.047	0.082	0.0	0.06	0.005	0.041
ICOS	Q9Y6W8	False	ICOS_HUMAN		CPI-SS0E4B1484B	0.0	0.054	0.012	0.056	0.038	0.064	0.057	0.047	0.082	0.0	0.06	0.005	0.041
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS04B4619D0	0.797	0.164	0.303	0.204	0.314	0.118	0.368	0.251	0.328	0.0	0.16	0.496	0.263
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS084BE3E4B	0.797	0.164	0.303	0.204	0.314	0.118	0.368	0.251	0.328	0.0	0.16	0.496	0.263
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0F9B3B259	0.797	0.164	0.303	0.204	0.314	0.118	0.368	0.251	0.328	0.0	0.16	0.496	0.263
FAS	P25445	False	TNR6_HUMAN		CPI-SS08B7D54A3	0.231	0.195	0.26	0.138	0.2	0.222	0.211	0.299	0.218	0.751	0.064	0.106	0.192
FAS	P25445	False	TNR6_HUMAN		CPI-SS0A83A7E30	0.231	0.195	0.26	0.138	0.2	0.222	0.211	0.299	0.218	0.751	0.064	0.106	0.192
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0E7D5974D	0.504	0.156	0.479	0.19	0.496	0.176	0.519	0.314	0.62	1.886	0.111	0.692	0.345
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS07D9A48A2	0.504	0.156	0.479	0.19	0.496	0.176	0.519	0.314	0.62	1.886	0.111	0.692	0.345
RIPK1	Q13546	False	RIPK1_HUMAN		CPI-SS048A2311A	0.231	0.123	0.091	0.119	0.124	0.083	0.126	0.102	0.112	0.0	0.079	0.156	0.119
RIPK1	Q13546	False	RIPK1_HUMAN		CPI-SS0D5C54214	0.231	0.123	0.091	0.119	0.124	0.083	0.126	0.102	0.112	0.0	0.079	0.156	0.119
RIPK1	Q13546	False	RIPK1_HUMAN		CPI-SS0DEDA3567	0.231	0.123	0.091	0.119	0.124	0.083	0.126	0.102	0.112	0.0	0.079	0.156	0.119
PTPRS	Q13332	False	PTPRS_HUMAN		CPI-SS0FBC9234C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CELSR2	Q9HCU4	False	CELR2_HUMAN		CPI-SS034B442CE	0.0	0.0	0.0	0.0	0.004	0.001	0.004	0.004	0.002	0.0	0.006	0.006	0.005
CCL20	P78556	False	CCL20_HUMAN		CPI-SS0F8C664D9	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL20	P78556	False	CCL20_HUMAN		CPI-SS07F015051	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0DCA69916	0.0	0.0	0.004	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.019	0.0	0.004
CD70	P32970	False	CD70_HUMAN		CPI-SS0AA47D179	0.0	0.07	0.081	0.046	0.111	0.029	0.302	0.095	0.28	0.0	0.019	0.006	0.105
CD70	P32970	False	CD70_HUMAN		CPI-SS0D4BF6CA3	0.0	0.07	0.081	0.046	0.111	0.029	0.302	0.095	0.28	0.0	0.019	0.006	0.105
CD40LG	P29965	False	CD40L_HUMAN		CPI-SS083296041	0.0	0.0	0.0	0.0	0.0	0.111	0.0	0.006	0.0	0.0	0.008	0.0	0.143
INSL3	P51460	False	INSL3_HUMAN		CPI-SS05834E385	0.0	0.0	0.0	0.0	0.001	0.003	0.0	0.0	0.0	0.0	0.0	0.005	0.0
OGN	P20774	False	MIME_HUMAN		CPI-SS0EF0750A7	0.0	0.012	0.0	0.0	0.001	0.0	0.003	0.0	0.001	0.0	0.0	0.0	0.0
IL2	P60568	False	IL2_HUMAN		CPI-SS09F430F14	0.0	0.013	0.0	0.021	0.0	0.017	0.0	0.0	0.0	0.0	0.003	0.0	0.0
DLL3	Q9NYJ7	False	DLL3_HUMAN		CPI-SS003C9A532	0.0	0.0	0.004	0.014	0.001	0.012	0.0	0.003	0.0	0.0	0.008	0.0	0.0
DLL3	Q9NYJ7	False	DLL3_HUMAN		CPI-SS0607D1101	0.0	0.0	0.004	0.014	0.001	0.012	0.0	0.003	0.0	0.0	0.008	0.0	0.0
DLL3	Q9NYJ7	False	DLL3_HUMAN		CPI-SS09D379E5B	0.0	0.0	0.004	0.014	0.001	0.012	0.0	0.003	0.0	0.0	0.008	0.0	0.0
JAG2	Q9Y219	False	JAG2_HUMAN		CPI-SS02770D68F	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.002	0.0	0.0	0.0	0.0
JAG2	Q9Y219	False	JAG2_HUMAN		CPI-SS08C3D27F7	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.002	0.0	0.0	0.0	0.0
JAG2	Q9Y219	False	JAG2_HUMAN		CPI-SS05FEE05CB	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.002	0.0	0.0	0.0	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B87FE6E0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS01A07768A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0
RETN	Q9HD89	False	RETN_HUMAN		CPI-SS0EECD7662	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.011	0.0	0.0
CCR3	P51677	False	CCR3_HUMAN		CPI-SS08BFF4F9B	0.0	0.0	0.0	0.0	0.001	0.024	0.0	0.005	0.006	0.0	0.0	0.0	0.004
CCR3	P51677	False	CCR3_HUMAN		CPI-SS0F6B529A1	0.0	0.0	0.0	0.0	0.001	0.024	0.0	0.005	0.006	0.0	0.0	0.0	0.004
CCR3	P51677	False	CCR3_HUMAN		CPI-SS0C6311D2D	0.0	0.0	0.0	0.0	0.001	0.024	0.0	0.005	0.006	0.0	0.0	0.0	0.004
CCR1	P32246	False	CCR1_HUMAN		CPI-SS08DA48A5A	0.0	0.021	0.025	0.0	0.012	0.002	0.038	0.014	0.043	0.0	0.0	0.03	0.263
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0A021DB6E	0.0	0.021	0.025	0.0	0.012	0.002	0.038	0.014	0.043	0.0	0.0	0.03	0.263
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0817CE2B3	0.0	0.021	0.025	0.0	0.012	0.002	0.038	0.014	0.043	0.0	0.0	0.03	0.263
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0F3BF2B34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0CCD89E02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS083B5EBAB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
CCR4	P51679	False	CCR4_HUMAN		CPI-SS0EA05941A	0.0	0.0	0.007	0.0	0.003	0.149	0.021	0.122	0.024	0.0	0.009	0.0	0.063
DPP4	P27487	False	DPP4_HUMAN		CPI-SS04641FE5F	0.0	0.09	0.0	0.243	0.053	0.18	0.153	0.088	0.142	0.0	0.159	0.006	0.447
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS01A6823FA	0.379	0.575	0.146	0.736	0.242	0.348	0.424	0.504	0.513	1.7	0.226	0.085	0.285
CXCR1	P25024	False	CXCR1_HUMAN		CPI-SS07AB1C381	0.0	0.012	0.044	0.0	0.02	0.0	0.014	0.001	0.003	0.0	0.0	0.123	0.0
CXCR1	P25024	False	CXCR1_HUMAN		CPI-SS0D04AE221	0.0	0.012	0.044	0.0	0.02	0.0	0.014	0.001	0.003	0.0	0.0	0.123	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0C491A3C1	0.0	0.0	0.073	0.0	0.029	0.004	0.008	0.0	0.001	0.0	0.0	0.337	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	0.0	0.0	0.073	0.0	0.029	0.004	0.008	0.0	0.001	0.0	0.0	0.337	0.0
